marker_id	gene_id	gene_symbol	cell_or_state	organ_or_context	marker_set	evidence_level	evidence_type	source	source_year	source_url	source_detail	use_note
TRI_001	Solyc01g005880	SlDif10	trichoblast/root hair	root	tomato_root_atlas	B	tomato scRNA marker panel	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 root marker dot plot; validated in S. lycopersicum	Use with other trichoblast markers; root-specific identity marker
TRI_002	Solyc03g082790	SlDif54	trichoblast/root hair	root	tomato_root_atlas	B	tomato scRNA marker panel	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 root marker dot plot; validated in S. lycopersicum	Use with SlDif10 and SlEXT1
TRI_003	Solyc12g049070	SlEXT1	trichoblast/root hair	root	tomato_root_atlas	B	tomato scRNA marker panel	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 root marker dot plot; validated in S. lycopersicum	Cell-wall/root-hair marker; use as a module not alone
ATR_001	Solyc10g047170	SlST1	atrichoblast	root	tomato_root_atlas	B	tomato scRNA marker panel	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 root marker dot plot	Use with SlAMT1;1, SlSIPT1, SlHAK5
ATR_002	Solyc09g090730	SlAMT1;1	atrichoblast	root	tomato_root_atlas	B	tomato scRNA marker panel	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 root marker dot plot	Nutrient transporter; check treatment effects before single-gene calls
ATR_003	Solyc09g090070	SlSIPT1	atrichoblast	root	tomato_root_atlas	B	tomato scRNA marker panel	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 root marker dot plot	Use as atrichoblast module member
ATR_004	Solyc12g005670	SlHAK5	atrichoblast	root	tomato_root_atlas	B	tomato scRNA marker panel	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 root marker dot plot	Potassium transporter; may shift under nutrient stress
EXO_001	Solyc03g097500	SlASFT	exodermis	root	tomato_root_atlas	A	tomato scRNA marker; exodermis/suberin biology	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Root atlas exodermis marker; study validates tomato exodermis/suberin program	High-priority exodermis/suberized barrier marker
EXO_002	Solyc04g011600	SlGPAT5	exodermis	root	tomato_root_atlas	A	tomato scRNA marker; exodermis/suberin biology	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 exodermis marker	Suberin-associated; strong barrier-cell support
EXO_003	Solyc05g051550	SlMYB92	exodermis	root	tomato_root_atlas	A	tomato scRNA marker; exodermis/suberin biology	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 exodermis marker	Transcription factor; use with SlASFT/SlGPAT5
EXO_004	Solyc01g094700	SlGPAT4	exodermis-like	hypocotyl/apical hook	tomato_hook_snRNA	B	tomato snRNA marker	Single-nucleus transcriptomic analysis uncovers regulatory mechanisms of apical hook development and shade avoidance syndrome in tomato	2026	https://academic.oup.com/hr/advance-article/doi/10.1093/hr/uhag044/8489356	Text lists exodermis-like markers in cluster 12	Hypocotyl/hook evidence; do not replace root exodermis panel
EXO_005	Solyc09g083050	SlKCS2a	exodermis-like	hypocotyl/apical hook	tomato_hook_snRNA	B	tomato snRNA marker	Single-nucleus transcriptomic analysis uncovers regulatory mechanisms of apical hook development and shade avoidance syndrome in tomato	2026	https://academic.oup.com/hr/advance-article/doi/10.1093/hr/uhag044/8489356	Text lists exodermis-like markers in cluster 12	Cutin/suberin-related support marker
COR_001	Solyc04g076190	SlPEP	cortex	root	tomato_root_atlas	B	tomato scRNA marker panel	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 cortex marker	Use with cortex module, not alone
COR_002	Solyc01g090610	SlREO	cortex	root; hypocotyl/apical hook	tomato_root_atlas;tomato_hook_snRNA	B	tomato sc/snRNA marker panel	A suberized exodermis is required for tomato drought tolerance; Single-nucleus transcriptomic analysis uncovers regulatory mechanisms of apical hook development and shade avoidance syndrome in tomato	2024;2026	https://www.nature.com/articles/s41477-023-01567-x; https://academic.oup.com/hr/advance-article/doi/10.1093/hr/uhag044/8489356	Root dot plot and apical hook text list Solyc01g090610 as cortex marker	Symbol appears as SlREO/SIREO in source text; verify annotation version
COR_003	Solyc08g078900	SlCORTEX4	cortex	root	tomato_root_atlas	B	tomato scRNA marker panel	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 cortex marker	Cortex identity marker
COR_004	Solyc01g008910	SlGRAS18	cortex	root	tomato_root_atlas	B	tomato scRNA marker panel	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 cortex marker	GRAS TF; use with cortex module
